Galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,Vbar_kms,gobs_km2s2_per_kpc,gbar_km2s2_per_kpc,log10_gobs,log10_gbar,is_outer
ESO079-G014,6.34,132.0,9.1,10.22,96.19,0.0,96.73140389759676,2748.2649842271294,1475.86190851735,3.439058604529967,3.169045723899941,False
ESO079-G014,6.89,137.0,5.25,11.87,100.53,0.0,101.22834484471234,2724.0928882438316,1487.253671988389,3.4352219124051877,3.172385049859451,False
ESO079-G014,8.34,154.0,4.2,17.23,113.81,0.0,115.10685904845114,2843.6450839328536,1588.6797362110312,3.4538753910351874,3.2010363561029767,False
ESO079-G014,10.04,163.0,3.28,24.23,128.72,0.0,130.9806523880531,2646.314741035857,1708.758097609562,3.4226414959989153,3.2326805856527283,False
ESO079-G014,11.65,170.0,2.41,30.75,133.41,0.0,136.90796397580382,2480.68669527897,1608.9090643776824,3.39457191739451,3.2065314984464326,False
ESO079-G014,13.36,175.0,2.18,36.2,132.99,0.0,137.8288072211321,2292.2904191616767,1421.9146781437125,3.360269639233062,3.152873537376107,True
ESO079-G014,15.06,177.0,2.23,39.42,128.51,0.0,134.42007476563907,2080.2788844621514,1199.78462815405,3.3181215608589314,3.079103293381867,True
ESO079-G014,16.67,178.0,2.03,40.49,124.23,0.0,130.66190339957552,1900.6598680263946,1024.1471505698862,3.2789044047897824,3.0103623610237964,True
ESO116-G012,0.25,20.9,3.4,-0.22,17.33,0.0,17.33139636613276,1747.2399999999998,1201.5091999999997,3.2423525635500705,3.0797271005614224,False
ESO116-G012,0.83,40.0,3.29,-1.8,34.96,0.0,35.00630800298712,1927.710843373494,1476.4356626506026,3.285041890279851,3.169214526841495,False
ESO116-G012,1.38,51.5,2.96,-1.55,51.34,0.0,51.36339260601854,1921.9202898550727,1911.7377536231888,3.2837353716811455,3.2814283168283236,False
ESO116-G012,1.85,67.9,3.45,5.01,61.73,0.0,61.93297183245771,2492.1135135135137,2073.3475675675672,3.3965678201579896,3.316672111560302,False
ESO116-G012,2.68,80.2,2.93,12.54,60.49,0.0,61.776141834854016,2400.0149253731347,1423.9894402985074,3.3802139425395383,3.153506768769171,False
ESO116-G012,3.19,83.3,3.08,16.68,63.17,0.0,65.33506944972203,2175.2006269592475,1338.141473354232,3.337499319756394,3.1265020311067464,False
ESO116-G012,3.68,91.4,2.83,20.19,65.14,0.0,68.19718249312064,2270.0978260869565,1263.819483695652,3.3560445727941453,3.1016850463882193,False
ESO116-G012,4.13,102.0,5.4,22.31,66.32,0.0,69.97198367918405,2519.128329297821,1185.491162227603,3.4012502918674343,3.073898320684438,True
ESO116-G012,5.23,105.0,4.21,25.63,64.52,0.0,69.42425584765024,2108.0305927342256,921.5539770554492,3.323876909272602,2.96452077770029,True
ESO116-G012,6.05,109.0,2.1,27.28,60.09,0.0,65.99247305564477,1963.801652892562,719.8357851239671,3.2930976212287786,2.857233432891449,True
ESO116-G012,6.81,108.0,2.1,28.58,55.74,0.0,62.639955300111765,1712.775330396476,576.176798825257,3.233700399061114,2.7605557663619016,True
ESO116-G012,7.56,109.0,2.1,30.7,53.61,0.0,61.778006604292436,1571.5608465608466,504.83096560846565,3.196331200380041,2.7031459860546803,True
ESO116-G012,8.32,110.0,2.1,33.83,51.18,0.0,61.35031621760397,1454.326923076923,452.3871754807692,3.1626620440257263,2.655510284810271,True
ESO116-G012,9.09,111.0,2.33,35.49,49.08,0.0,60.56720647347044,1355.4455445544554,403.5628712871287,3.1320820743513473,2.6059112033110163,True
ESO116-G012,9.86,112.0,4.74,33.74,46.34,0.0,57.32175154337139,1272.210953346856,333.2437322515214,3.104559130399152,2.522761989821301,True
ESO444-G084,0.26,18.3,1.8,4.59,8.31,0.0,9.493376638478008,1288.0384615384617,346.6315384615385,3.109928831490041,2.539868074698387,False
ESO444-G084,0.77,35.3,3.0,11.55,14.79,0.0,18.765569535721532,1618.298701298701,457.3332467532467,3.2090586856031633,2.6602327744325778,False
ESO444-G084,1.29,47.8,4.63,16.45,14.54,0.0,21.954819516452417,1771.1937984496121,373.65434108527126,3.2482660829249888,2.572470032218916,True
ESO444-G084,1.81,52.8,1.26,19.03,13.66,0.0,23.4251253998778,1540.2430939226517,303.16933701657456,3.18758927019844,2.481685274011744,True
